SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Terrain,Toebox,Waterproofing,Weight (oz),Widths Available
On Cloudventure Peak,Neutral,High,On,Balanced,Balanced,19.0,25.0,6.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Trail,Medium,,9.2,{Standard}
ASICS Gel Cumulus 21,Neutral,High,ASICS,Balanced,,13.0,23.0,10.0,120.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,,,10.1,"{Standard, Wide, Extra Wide}"
Nike Zoom Prevail,Neutral,High,Nike,Balanced,Balanced,20.0,28.0,8.0,100.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,,,9.5,{Standard}
The North Face Flight Vectiv,Neutral,High,The North Face,Balanced,Semi-Rigid,19.0,25.0,6.0,199.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,10.1,{Standard}
Brooks Glycerin 17,Neutral,High,Brooks,Plush,Semi-Flexible,22.0,32.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,10.6,"{Standard, Wide}"
Saucony Ride 15 TR,Neutral,High,Saucony,Balanced,Balanced,27.0,35.0,8.0,140.00,"{Supination, Underpronation, Neutral}",2023,{},Trail,,,9.2,{Standard}
Saucony Cohesion 10,Neutral,High,Saucony,Balanced,,17.0,29.0,12.0,60.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,9.9,"{Standard, Wide}"
New Balance 840 v5,Neutral,High,New Balance,,,,,8.0,130.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Wide,,12.9,"{Narrow, Standard, Wide, Extra Wide}"
Hoka Rincon 2,Neutral,High,Hoka,Balanced,,27.0,32.0,5.0,115.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,7.7,"{Narrow, Standard}"
Under Armour HOVR Phantom 3,Neutral,High,Under Armour,Firm,Semi-Flexible,,,6.5,140.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.1,{}
Nike Air Zoom Pegasus 39 Shield,Neutral,High,Nike,Balanced,Balanced,,,10.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,Water Repellent,10.8,{Standard}
Mizuno Wave Sky,Stability,Low,Mizuno,Plush,,26.0,36.0,10.0,150.00,{Overpronation},,{Heel},Road,,,11.0,"{Standard, Wide}"
ASICS GT 1000 7,Stability,Low,ASICS,Balanced,Semi-Flexible,,,6.5,90.00,{Overpronation},,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.2,{}
Saucony Ride ISO 2,Neutral,High,Saucony,Balanced,Semi-Flexible,19.0,27.0,8.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.8,{Standard}
Nike Renew Ride 2,Neutral,High,Nike,Firm,Balanced,,,9.0,75.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,12.3,{Standard}
ASICS GT 1000 9,Stability,Low,ASICS,Firm,Semi-Flexible,21.0,31.0,10.0,100.00,{Overpronation},2020,{Heel},Road,Narrow,,9.8,"{Standard, Wide, Extra Wide}"
Adidas Runfalcon,Neutral,High,Adidas,Balanced,Semi-Flexible,,,10.5,60.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,9.5,{}
Skechers GOrun Razor+,Neutral,High,Skechers,Plush,Semi-Flexible,19.0,23.0,4.0,135.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Narrow,,6.4,{Standard}
ASICS Gel Sonoma 6 GTX,Neutral,High,ASICS,Balanced,Semi-Rigid,,,8.0,90.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,11.1,{Standard}
Nike Joyride Run Flyknit,Neutral,High,Nike,Plush,Semi-Flexible,18.0,28.0,10.0,180.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Narrow,,11.9,{Standard}
Adidas Terrex Agravic Pro,Neutral,High,Adidas,Firm,Semi-Rigid,28.0,32.0,4.0,220.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,Medium,,11.3,{Standard}
ASICS Gel Quantum 360,Neutral,High,ASICS,Balanced,Semi-Flexible,12.0,22.0,10.0,170.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,11.9,{Standard}
Xero Shoes Mesa Trail,Neutral,High,Xero Shoes,Balanced,Flexible,,,0.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Wide,,7.6,{Standard}
Hoka Challenger 7 GTX,Neutral,,Hoka,Balanced,Semi-Rigid,26.0,31.0,5.0,160.00,{},2023,"{Forefoot, Midfoot, Heel}",Trail,Narrow,Water Repellent,9.0,{Standard}
Mizuno Wave Rebellion Flash,Neutral,,Mizuno,Plush,Balanced,28.0,36.0,8.0,160.00,{},2023,{},Road,Wide,,8.4,{Standard}
Adidas Response Trail,Neutral,High,Adidas,,,20.0,30.0,10.0,140.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,,12.0,"{Standard, Wide}"
ASICS EvoRide 3,Neutral,High,ASICS,Balanced,Balanced,27.0,32.0,5.0,120.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Narrow,,7.6,"{Narrow, Standard}"
Hoka Arahi 5,Stability,Low,Hoka,Balanced,Semi-Rigid,24.0,29.0,5.0,130.00,{Overpronation},2021,"{Forefoot, Midfoot}",Road,Medium,,9.7,"{Narrow, Standard, Wide}"
ASICS Gel Pulse 11,Neutral,High,ASICS,Firm,Semi-Flexible,13.0,31.0,8.0,90.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Narrow,,11.4,"{Standard, Extra Wide}"
Reebok Energen Plus,Neutral,High,Reebok,,,,,,65.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Narrow,,,{Standard}
Scarpa Spin Ultra,Neutral,High,Scarpa,Balanced,Balanced,18.0,24.0,6.0,110.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.9,{Standard}
Dynafit Ultra 100,Neutral,High,Dynafit,Plush,Semi-Flexible,,,6.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,,11.6,{Standard}
Under Armour Surge 2,Neutral,High,Under Armour,Plush,Semi-Flexible,,,8.0,60.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.6,{Standard}
New Balance FuelCell RC Elite v2,Neutral,High,New Balance,Plush,Balanced,31.0,39.0,8.0,225.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,7.8,"{Standard, Wide}"
Adidas Ultraboost Summer.RDY,Neutral,High,Adidas,Plush,Balanced,,,10.5,180.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,10.8,{}
ASICS Gel DS Trainer 25,Neutral,High,ASICS,Firm,Semi-Flexible,15.0,23.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.0,{Standard}
NOBULL Knit Runner,Neutral,High,NoBull,Balanced,Balanced,,,10.0,159.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Narrow,,10.6,{Standard}
Salomon X-Mission 3,Neutral,High,Salomon,,,17.0,27.0,10.0,115.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,,10.2,{Standard}
Topo Athletic Ultrafly 4,Stability,,Topo Athletic,Firm,Semi-Rigid,23.0,28.0,5.0,135.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,9.6,"{Standard, Wide}"
New Balance Fresh Foam X 880 v12,Neutral,High,New Balance,Plush,Semi-Flexible,27.0,37.0,10.0,135.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,10.5,"{Standard, Wide}"
ASICS Gel Kahana 8,Stability,Low,ASICS,,,,,10.5,85.00,{Overpronation},,{Heel},Trail,,,11.9,{}
Brooks Dyad 10,Neutral,High,Brooks,Plush,,18.0,28.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,11.6,"{Standard, Wide, Extra Wide}"
Merrell MTL Long Sky 2,Neutral,High,Merrell,Firm,Balanced,19.5,23.5,4.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Wide,,9.5,{Standard}
Topo Athletic Ultraventure 2,Neutral,High,Topo Athletic,Firm,Balanced,25.0,30.0,5.0,135.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Medium,,10.0,{Standard}
Under Armour HOVR Sonic,Neutral,High,Under Armour,,,20.0,28.0,8.0,100.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,9.6,{Standard}
Merrell Bare Access XTR,Neutral,High,Merrell,Balanced,Semi-Flexible,17.2,17.2,0.0,100.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Medium,,8.5,{Standard}
Brooks Ricochet 2,Neutral,High,Brooks,,,13.0,21.0,8.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,,,9.7,{Standard}
Merrell Vapor Glove 4,Neutral,High,Merrell,,Flexible,6.0,6.0,0.0,80.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,5.6,{Standard}
Nike Joyride Dual Run,Neutral,High,Nike,Balanced,Balanced,19.0,30.0,11.0,130.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,10.2,"{Narrow, Standard}"
Adidas Terrex Two Ultra Parley,Neutral,High,Adidas,Plush,Semi-Flexible,,,,180.00,"{Supination, Underpronation, Neutral}",2020,{},Trail,Medium,,11.3,{Standard}
Nike Air Zoom Vomero 14,Neutral,High,Nike,Plush,Semi-Flexible,12.0,22.0,10.0,140.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,9.9,"{Standard, Wide}"
Hoka Mafate Speed 3,Neutral,High,Hoka,Balanced,,29.0,33.0,4.0,170.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Wide,,10.9,{Standard}
Nike Air Max Torch 4,Neutral,High,Nike,Plush,Semi-Rigid,,,,85.00,"{Supination, Underpronation, Neutral}",2020,{},Trail,Narrow,,10.4,{Standard}
Adidas Adizero Adios 5,Neutral,High,Adidas,,,12.0,21.0,9.0,140.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,,,8.0,{Standard}
Saucony Endorphin Pro+,Neutral,High,Saucony,Plush,Semi-Rigid,27.5,35.5,8.0,250.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,6.9,{Standard}
ASICS Gel Kayano Lite,Stability,Low,ASICS,Balanced,Balanced,12.0,22.0,10.0,160.00,{Overpronation},2020,{Heel},Road,Wide,,10.2,{Standard}
Under Armour Charged Impulse 2,Neutral,High,Under Armour,Plush,Semi-Flexible,,,8.0,75.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,,{Standard}
Nike ZoomX Vaporfly Next% 3,Neutral,,Nike,Balanced,Semi-Rigid,32.0,40.0,8.0,250.00,{},2023,"{Forefoot, Midfoot}",Road,Medium,,,{Standard}
Nike Zoom Fly SP,Neutral,High,Nike,Plush,Semi-Flexible,,,10.0,150.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,8.7,{Standard}
La Sportiva Ultra Raptor,Neutral,High,La Sportiva,,,21.0,29.0,8.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Trail,,,12.1,{Standard}
Under Armour Charged Impulse,Neutral,High,Under Armour,Plush,Semi-Flexible,,,8.0,75.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.0,{Standard}
Hoka Elevon 2,Neutral,High,Hoka,Plush,Semi-Flexible,27.0,32.0,5.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,10.1,{Standard}
Salomon Predict Soc 2,Neutral,High,Salomon,Firm,Semi-Flexible,20.0,28.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.4,{Standard}
Nike Air Zoom Winflo 7,Neutral,High,Nike,Plush,,,,10.0,90.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Narrow,,,{Standard}
Nike Quest 3,Neutral,High,Nike,Balanced,Semi-Flexible,,,,75.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,9.0,{Standard}
Adidas Alphabounce Beyond,Neutral,High,Adidas,Plush,Balanced,12.0,22.0,10.0,120.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,12.2,{Standard}
ASICS Gel Kinsei OG,Neutral,High,ASICS,Plush,Semi-Flexible,,,,180.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Wide,,10.2,{Standard}
Brooks Hyperion,Neutral,High,Brooks,Balanced,Semi-Flexible,17.0,27.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,6.4,{Standard}
New Balance 840 v4,Neutral,High,New Balance,,,,,12.0,125.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,12.6,"{Narrow, Standard}"
Nike Odyssey React Flyknit 2,Neutral,High,Nike,Plush,Semi-Flexible,12.0,22.0,10.0,120.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Narrow,,8.0,{Standard}
ASICS GT Xpress,Neutral,High,ASICS,,,12.0,22.0,10.0,90.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.9,{Standard}
Saucony Cohesion 11,Neutral,High,Saucony,Balanced,,17.0,29.0,12.0,60.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,9.3,"{Standard, Wide}"
Adidas Galaxy 5,Neutral,High,Adidas,Plush,,,,,50.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,,{Standard}
Veja Marlin,Neutral,High,Veja,Firm,Balanced,18.0,24.0,6.0,185.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Narrow,,,{Standard}
Hoka Clifton 6,Neutral,High,Hoka,Plush,Balanced,28.0,33.0,5.0,130.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Narrow,,9.0,{Standard}
Adidas Adizero Boston 9,Neutral,High,Adidas,Plush,Semi-Flexible,13.0,21.0,8.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.5,{Standard}
New Balance 860 v9,Stability,Low,New Balance,Plush,Semi-Flexible,,,10.0,125.00,{Overpronation},,{Heel},Road,Medium,,11.5,"{Standard, Wide}"
Saucony Triumph ISO 4,Neutral,High,Saucony,Plush,,20.0,28.0,8.0,160.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,10.8,"{Standard, Wide}"
ASICS Versablast,Neutral,High,ASICS,Balanced,Semi-Flexible,13.0,23.0,10.0,70.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,7.3,{Standard}
ASICS Gel Jadeite,Stability,Low,ASICS,Plush,Balanced,,,10.0,160.00,{Overpronation},2023,{},Road,Narrow,,11.1,{Standard}
Skechers GORUN Ride 10,Neutral,High,Skechers,Plush,Semi-Flexible,28.0,34.0,6.0,145.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,Wide,,8.4,{Standard}
New Balance FuelCell Rebel,Neutral,High,New Balance,,,18.0,24.0,6.0,130.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,,,7.3,"{Standard, Wide}"
Adidas Climacool Boost,Neutral,High,Adidas,Plush,,23.5,31.5,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Wide,,,{Standard}
ASICS Gel Quantum 360 5,Neutral,High,ASICS,Plush,Semi-Flexible,12.0,22.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,14.0,"{Narrow, Standard}"
Mizuno Wave Rider 23,Neutral,High,Mizuno,Firm,Balanced,20.0,32.0,12.0,120.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,10.2,"{Standard, Wide}"
Topo Athletic Pursuit,Neutral,High,Topo Athletic,Plush,Semi-Flexible,28.0,28.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Wide,,10.8,{Standard}
Scott Supertrac Ultra RC,Neutral,High,Scott,Balanced,Semi-Flexible,21.0,29.0,8.0,180.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Trail,Medium,Water Repellent,12.0,{Standard}
Topo Athletic Cyclone 2,Neutral,,Topo Athletic,Balanced,Semi-Flexible,23.0,28.0,5.0,150.00,{},2023,{},Road,Wide,,6.9,{Standard}
ASICS Gel FujiTrabuco 8,Neutral,High,ASICS,Plush,Balanced,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,13.2,{}
Reebok Forever Floatride Energy,Neutral,High,Reebok,Plush,Semi-Flexible,,,,90.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Wide,,9.6,{Standard}
New Balance Nitrel v3,Neutral,High,New Balance,Plush,Semi-Flexible,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,10.4,"{Standard, Wide, Extra Wide}"
Reebok Floatride Energy 5,Neutral,,Reebok,Balanced,Balanced,19.0,27.0,8.0,110.00,{},2023,{Heel},Road,Narrow,,9.4,{Standard}
Inov-8 Trailfly Ultra G 280,Neutral,High,Inov-8,Balanced,Semi-Flexible,25.0,33.0,8.0,185.00,"{Supination, Underpronation, Neutral}",2023,{Heel},Trail,Narrow,,9.9,{Standard}
Skechers GOrun Razor 4,Neutral,,Skechers,Balanced,Balanced,26.0,30.0,4.0,130.00,{},2023,{},Road,Medium,,7.5,{Standard}
Hoka Rincon,Neutral,High,Hoka,Plush,Semi-Flexible,24.0,29.0,5.0,115.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,7.7,{Standard}
Nike Downshifter 10,Neutral,High,Nike,Balanced,,,,,60.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Narrow,,9.3,"{Standard, Extra Wide}"
Saucony Guide ISO 2,Stability,Low,Saucony,Balanced,,19.0,27.0,8.0,120.00,{Overpronation},,"{Forefoot, Midfoot, Heel}",Road,,,10.3,{Standard}
Brooks Bedlam 2,Stability,Low,Brooks,,,18.0,26.0,8.0,150.00,{Overpronation},2019,"{Forefoot, Midfoot, Heel}",Road,,,11.6,{Standard}
ASICS Jolt 2,Neutral,High,ASICS,Plush,Semi-Flexible,12.0,22.0,10.0,55.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,10.2,"{Standard, Wide, Extra Wide}"
Mizuno Wave Sky 4 Waveknit,Neutral,High,Mizuno,Plush,Semi-Flexible,,,10.0,160.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,11.2,"{Standard, Wide}"
Vivobarefoot Primus Lite,Neutral,High,Vivobarefoot,,,3.0,3.0,0.0,135.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,7.1,"{Standard, Wide}"
Nike Air Zoom Pegasus 34,Neutral,High,Nike,Plush,Semi-Flexible,19.0,29.0,10.0,110.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,10.1,{Standard}
Under Armour Charged Rogue 2.5,Neutral,High,Under Armour,Plush,,,,8.0,80.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Narrow,,,{Standard}
Topo Athletic Terraventure 3,Neutral,High,Topo Athletic,Firm,Balanced,22.0,25.0,3.0,125.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Wide,,10.2,{Standard}
ASICS Roadblast,Neutral,High,ASICS,Balanced,Semi-Flexible,14.0,24.0,10.0,90.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,8.7,{Standard}
ASICS Novablast 2 LE,Neutral,High,ASICS,Plush,Balanced,22.0,30.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Medium,,9.7,"{Narrow, Standard}"
ASICS GT 2000 9 Trail,Stability,Low,ASICS,Firm,Balanced,23.0,33.0,10.0,120.00,{Overpronation},2021,{Heel},Trail,Medium,,9.9,{Standard}
Inov-8 X-Talon 255,Neutral,High,Inov-8,Balanced,Semi-Flexible,19.0,22.0,3.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Medium,,9.0,"{Standard, Wide}"
Nike Air VaporMax Flyknit,Neutral,High,Nike,Plush,Semi-Flexible,,,8.0,190.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.0,"{Standard, Wide}"
On Cloudflyer Waterproof,Stability,Low,On,Balanced,Balanced,20.0,27.0,7.0,180.00,{Overpronation},,"{Forefoot, Midfoot, Heel}",Road,Medium,Waterproof,10.3,{Standard}
Under Armour Charged Bandit Trail 2,Neutral,High,Under Armour,Balanced,Semi-Rigid,,,8.0,90.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,,,,{Standard}
New Balance FuelCell SC Elite v3,Stability,Low,New Balance,Plush,Semi-Rigid,36.0,40.0,4.0,230.00,{Overpronation},2023,{},Road,,,8.0,{Standard}
Hoka TenNine,Stability,Low,Hoka,Plush,Semi-Flexible,33.0,37.0,4.0,250.00,{Overpronation},2020,"{Forefoot, Midfoot}",Trail,Medium,,12.7,{Standard}
Adidas Asweego,Neutral,High,Adidas,Plush,Balanced,16.0,27.0,11.0,80.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Wide,,10.5,{Standard}
Merrell Vapor Glove 3,Neutral,High,Merrell,,,7.0,7.0,0.0,80.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,6.1,{Standard}
Adidas Ultraboost Mid,Neutral,High,Adidas,,,19.0,29.0,10.0,200.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,,,10.9,{Standard}
Adidas Ultra 4DFWD,Neutral,High,Adidas,Balanced,Balanced,21.0,32.0,11.0,220.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Medium,,13.9,{Standard}
New Balance FuelCell Propel v2,Neutral,High,New Balance,Balanced,Semi-Flexible,21.0,27.0,6.0,100.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.3,"{Standard, Wide}"
Xero Shoes Speed Force,Neutral,High,Xero Shoes,Balanced,Flexible,6.0,6.0,0.0,100.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Wide,,5.8,{Standard}
Under Armour HOVR Machina,Neutral,High,Under Armour,Plush,Balanced,23.0,31.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.4,{Standard}
New Balance 940 v4,Stability,Low,New Balance,,,,,12.0,130.00,{Overpronation},2020,{Heel},Road,,,12.9,"{Narrow, Standard, Wide, Extra Wide}"
New Balance Fresh Foam More Trail v1,Neutral,High,New Balance,Plush,Balanced,30.0,34.0,4.0,165.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Wide,,10.8,"{Standard, Wide}"
Under Armour Fat Tire,Neutral,High,Under Armour,,,23.0,33.0,10.0,150.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,,13.0,{Standard}
Altra Torin 5 Luxe,Neutral,High,Altra,Plush,Balanced,28.0,28.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,9.2,{Standard}
Brooks Revel 2,Neutral,High,Brooks,,,18.0,30.0,12.0,100.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.2,{Standard}
Merrell Trail Glove 4,Neutral,High,Merrell,,,11.0,11.0,0.0,100.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,,,8.1,{Standard}
Vibram FiveFingers KSO EVO,Neutral,High,Vibram FiveFingers,,,4.0,4.0,0.0,90.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,4.1,{Standard}
ASICS Gel Kayano 24,Stability,Low,ASICS,,,12.0,22.0,10.0,160.00,{Overpronation},,{Heel},Road,,,11.3,"{Standard, Wide}"
ASICS Gel Quantum 180 5,Neutral,High,ASICS,Plush,Balanced,12.0,22.0,10.0,120.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,12.0,"{Narrow, Standard}"
ASICS Frequent Trail,Neutral,High,ASICS,Balanced,Semi-Flexible,,,,60.00,"{Supination, Underpronation, Neutral}",2020,{},Trail,Medium,,,"{Standard, Extra Wide}"
Brooks Caldera,Neutral,High,Brooks,Balanced,Balanced,21.0,25.0,4.0,140.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,Medium,,9.9,{Standard}
Saucony Xodus Ultra RunShield,Neutral,High,Saucony,Balanced,Balanced,26.5,32.5,6.0,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Trail,Medium,Water Repellent,10.3,{Standard}
Nike Free RN Flyknit 2017,Neutral,High,Nike,,,16.0,24.0,8.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,8.2,{Standard}
NOBULL Ripstop Runner,Neutral,High,NoBull,Balanced,Semi-Flexible,,,,139.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Narrow,,,{Standard}
ASICS Gel Sonoma 5,Neutral,High,ASICS,Plush,Semi-Flexible,12.0,20.0,8.0,80.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,12.0,"{Standard, Extra Wide}"
On Cloudstratus 2,Neutral,High,On,Firm,Balanced,,,6.0,170.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Wide,,10.8,{Standard}
Under Armour Charged Rogue 2,Neutral,High,Under Armour,Plush,,,,8.0,80.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.4,"{Standard, Wide, Extra Wide}"
Scarpa Spin Infinity,Neutral,High,Scarpa,Firm,Semi-Rigid,31.0,35.0,4.0,159.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Medium,,10.8,"{Narrow, Standard}"
Brooks Anthem 3,Neutral,High,Brooks,Plush,Semi-Flexible,,,10.0,85.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,8.8,"{Narrow, Standard}"
PUMA Fast FWD Nitro Elite,Neutral,High,PUMA,Balanced,Semi-Rigid,27.0,36.0,9.0,220.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,6.7,{Standard}
